rank	feature_id	instability_count	instability_conditions	mean_SSI	mean_stability_deviation	max_stability_deviation
153	RvY_16015	3	des;gam;lt	0.7261904761904762	0.27380952380952384	0.5
154	RvY_05202-1	3	des;gam;uv	0.7261904761904762	0.2738095238095238	0.6428571428571428
155	RvY_11998-1	3	des;lt;uv	0.7261904761904762	0.2738095238095238	0.6428571428571428
156	RvY_12453	3	des;gam;uv	0.7261904761904762	0.2738095238095238	0.6428571428571428
157	RvY_15967-1	3	des;lt;uv	0.7261904761904762	0.2738095238095238	0.6428571428571428
158	RvY_17747	3	des;lt;uv	0.7261904761904762	0.2738095238095238	0.6428571428571428
159	RvY_18867-1	3	des;gam;uv	0.7261904761904762	0.2738095238095238	0.6428571428571428
160	RvY_18868	3	des;gam;uv	0.7261904761904762	0.2738095238095238	0.6428571428571428
161	RvY_00046-1	3	des;lt;uv	0.7291666666666666	0.2708333333333333	0.5
162	RvY_00074	3	des;lt;uv	0.7291666666666666	0.2708333333333333	0.5
163	RvY_04097	3	des;lt;uv	0.7291666666666666	0.2708333333333333	0.5
164	RvY_05550	3	des;gam;uv	0.7291666666666666	0.2708333333333333	0.625
165	RvY_06170-1	3	des;lt;uv	0.7291666666666666	0.2708333333333333	0.5
166	RvY_07144-1	3	des;lt;uv	0.7291666666666666	0.2708333333333333	0.5
167	RvY_07277-1	3	des;lt;uv	0.7291666666666666	0.2708333333333333	0.5
168	RvY_08871-1	3	des;lt;uv	0.7291666666666666	0.2708333333333333	0.5
169	RvY_09090-1	3	des;lt;uv	0.7291666666666666	0.2708333333333333	0.5
170	RvY_09422-1	3	des;lt;uv	0.7291666666666666	0.2708333333333333	0.5
171	RvY_10065-1	3	des;lt;uv	0.7291666666666666	0.2708333333333333	0.5
172	RvY_10663-1	3	des;lt;uv	0.7291666666666666	0.2708333333333333	0.5
173	RvY_12637-1	3	gam;lt;uv	0.7291666666666666	0.2708333333333333	0.625
174	RvY_13529	3	des;lt;uv	0.7291666666666666	0.2708333333333333	0.5
175	RvY_15042-1	3	des;lt;uv	0.7291666666666666	0.2708333333333333	0.5
176	RvY_16060-1	3	des;lt;uv	0.7291666666666666	0.2708333333333333	0.5
177	RvY_16526-1	3	des;lt;uv	0.7291666666666666	0.2708333333333333	0.5
178	RvY_17125-1	3	des;lt;uv	0.7291666666666666	0.2708333333333333	0.5
179	RvY_17967-1	3	des;lt;uv	0.7291666666666666	0.2708333333333333	0.5
180	RvY_19438-1	3	des;lt;uv	0.7291666666666666	0.2708333333333333	0.5
181	RvY_00323-1	3	des;gam;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
182	RvY_00891-1	3	des;lt;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
183	RvY_01282-1	3	des;gam;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
184	RvY_01420-1	3	des;gam;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
185	RvY_01972-1	3	des;gam;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
186	RvY_02192	3	des;gam;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
187	RvY_02316	3	des;gam;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
188	RvY_02449-1	3	gam;lt;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
189	RvY_02612	3	des;lt;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
190	RvY_02623-1	3	gam;lt;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
191	RvY_02641	3	des;gam;lt	0.7380952380952381	0.2619047619047619	0.5
192	RvY_03229-1	3	des;gam;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
193	RvY_03508-1	3	des;gam;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
194	RvY_04106-1	3	des;gam;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
195	RvY_04392-1	3	des;lt;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
196	RvY_05124-1	3	gam;lt;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
197	RvY_07160-1	3	des;gam;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
198	RvY_07994	3	des;gam;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
199	RvY_08027	3	des;gam;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
200	RvY_08077	3	des;gam;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
201	RvY_08215-1	3	des;gam;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
202	RvY_08237	3	des;gam;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
203	RvY_08323-1	3	des;lt;uv	0.7380952380952381	0.2619047619047619	0.5714285714285714
