evidence_row_id	condition	FSF_region	source	term_id	official_term_name	official_namespace_or_identifier_type	adjusted_p	enrichment_measure	significant_term_count_context	mapping_status	candidate_theme_ids	candidate_themes	theme_assignment_status
SEMANTIC_EVIDENCE_02810	GAM	Stable	GO	GO:0032940	secretion by cell	biological_process	0.00213206572832797	1.55183539684775	3174	mapped	H12	Endocrine and physiological regulation	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02811	GAM	Stable	GO	GO:0015002	obsolete heme-copper terminal oxidase activity	molecular_function	0.00213373583850734	6.60702270815812	3174	obsolete			UNASSIGNED_EVIDENCE_RETAINED
SEMANTIC_EVIDENCE_02812	GAM	Stable	GO	GO:0016676	obsolete oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor	molecular_function	0.00213373583850734	6.60702270815812	3174	obsolete	C05;H05	Cytoskeleton and cell motility; Metabolism and redox processes	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02813	GAM	Stable	GO	GO:0000019	regulation of mitotic recombination	biological_process	0.00213551118734688	7.15568544102019	3174	mapped	H04;H13	Broad regulatory and signaling processes; Cell cycle and division	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02814	GAM	Stable	GO	GO:0007091	metaphase/anaphase transition of mitotic cell cycle	biological_process	0.00213551118734688	7.15568544102019	3174	mapped	H04	Cell cycle and division	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02815	GAM	Stable	GO	GO:0010603	regulation of cytoplasmic mRNA processing body assembly	biological_process	0.00213551118734688	7.15568544102019	3174	mapped	C02;H13	Broad regulatory and signaling processes; RNA processing and expression	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02816	GAM	Stable	GO	GO:0010766	negative regulation of sodium ion transport	biological_process	0.00213551118734688	7.15568544102019	3174	mapped	C01;H13	Broad regulatory and signaling processes; Membrane transport and ion homeostasis	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02817	GAM	Stable	GO	GO:0016514	SWI/SNF complex	cellular_component	0.00213551118734688	7.15568544102019	3174	mapped			UNASSIGNED_EVIDENCE_RETAINED
SEMANTIC_EVIDENCE_02818	GAM	Stable	GO	GO:0031441	negative regulation of mRNA 3'-end processing	biological_process	0.00213551118734688	7.15568544102019	3174	mapped	C02;H13	Broad regulatory and signaling processes; RNA processing and expression	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02819	GAM	Stable	GO	GO:0032875	regulation of DNA endoreduplication	biological_process	0.00213551118734688	7.15568544102019	3174	mapped	H13	Broad regulatory and signaling processes	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02820	GAM	Stable	GO	GO:0034040	ATPase-coupled lipid transmembrane transporter activity	molecular_function	0.00213551118734688	7.15568544102019	3174	mapped	C01	Membrane transport and ion homeostasis	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02821	GAM	Stable	GO	GO:0036098	male germ-line stem cell population maintenance	biological_process	0.00213551118734688	7.15568544102019	3174	mapped			UNASSIGNED_EVIDENCE_RETAINED
SEMANTIC_EVIDENCE_02822	GAM	Stable	GO	GO:0045144	meiotic sister chromatid segregation	biological_process	0.00213551118734688	7.15568544102019	3174	mapped	H04	Cell cycle and division	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02823	GAM	Stable	GO	GO:0046618	xenobiotic export from cell	biological_process	0.00213551118734688	7.15568544102019	3174	mapped			UNASSIGNED_EVIDENCE_RETAINED
SEMANTIC_EVIDENCE_02824	GAM	Stable	GO	GO:0140142	nucleocytoplasmic carrier activity	molecular_function	0.00213551118734688	7.15568544102019	3174	mapped			UNASSIGNED_EVIDENCE_RETAINED
SEMANTIC_EVIDENCE_02825	GAM	Stable	GO	GO:0090630	activation of GTPase activity	biological_process	0.00213618204791232	3.34946978090307	3174	mapped			UNASSIGNED_EVIDENCE_RETAINED
SEMANTIC_EVIDENCE_02826	GAM	Stable	GO	GO:0034762	regulation of transmembrane transport	biological_process	0.00214294704985441	1.90818278427205	3174	mapped	C01;H13	Broad regulatory and signaling processes; Membrane transport and ion homeostasis	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02827	GAM	Stable	GO	GO:1904951	positive regulation of establishment of protein localization	biological_process	0.00214294704985441	1.90818278427205	3174	mapped	C03;H13	Broad regulatory and signaling processes; Vesicle trafficking and organelle organization	CANDIDATE_MAPPING_AVAILABLE
SEMANTIC_EVIDENCE_02828	GAM	Stable	GO	GO:0007403	glial cell fate determination	biological_process	0.00217738637845932	9.54091392136025	3174	mapped			UNASSIGNED_EVIDENCE_RETAINED
