condition	feature_id	p_up	p_down	p_const	ssi	dominant_state	stability_region	signal_class
LT	RvY_07149-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07150-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07153-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07154-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07155-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07156	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07157-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07158-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07159-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07160-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07161	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07162-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07164-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07165-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07166-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07167-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07168-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07169	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07170-1	0	0.5	0.5	0.5	tied	Low Stability	Low Stability
LT	RvY_07171-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07172-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07173-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07174-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07175-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07176-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07177-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07178-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07179-1	0	0.5	0.5	0.5	tied	Low Stability	Low Stability
LT	RvY_07180-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07181-1	0.5	0	0.5	0.5	tied	Low Stability	Low Stability
LT	RvY_07182-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07183	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07184-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07185-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07186	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07187-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07188-1	1	0	0	1	up	Highly Stable	Highly Stable Up
LT	RvY_07189-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07190-1	0	0.5	0.5	0.5	tied	Low Stability	Low Stability
LT	RvY_07191-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07192	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07193-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07194	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07195-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07196-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07197	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07198	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07199-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07200-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07201-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07205-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07206-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07207-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07209	0	0	1	1	constant	Highly Stable	Highly Stable Constant
LT	RvY_07210-1	0	0	1	1	constant	Highly Stable	Highly Stable Constant
