kegg_id	kegg_identifier_type	kegg_name	kegg_description_if_available	source_version	mapping_status
K05641	KO	ABCA1	ATP-binding cassette, subfamily A (ABC1), member 1	KEGG KO 2026-09-18	mapped
K05643	KO	ABCA3	ATP-binding cassette, subfamily A (ABC1), member 3	KEGG KO 2026-09-18	mapped
K05645	KO	ABCA7	ATP-binding cassette, subfamily A (ABC1), member 7	KEGG KO 2026-09-18	mapped
K05665	KO	ABCC1	ATP-binding cassette, subfamily C (CFTR/MRP), member 1 [EC:7.6.2.3]	KEGG KO 2026-09-18	mapped
K05666	KO	ABCC2	ATP-binding cassette, subfamily C (CFTR/MRP), member 2	KEGG KO 2026-09-18	mapped
K05667	KO	ABCC3	ATP-binding cassette, subfamily C (CFTR/MRP), member 3	KEGG KO 2026-09-18	mapped
K05674	KO	ABCC10	ATP-binding cassette, subfamily C (CFTR/MRP), member 10	KEGG KO 2026-09-18	mapped
K05688	KO	PINK1	PTEN induced putative kinase 1 [EC:2.7.11.1]	KEGG KO 2026-09-18	mapped
K05695	KO	PTPRF, LAR	receptor-type tyrosine-protein phosphatase F [EC:3.1.3.48]	KEGG KO 2026-09-18	mapped
K05725	KO	PTK2, FAK	focal adhesion kinase 1 [EC:2.7.10.2]	KEGG KO 2026-09-18	mapped
K05761	KO	VIL	villin	KEGG KO 2026-09-18	mapped
K05768	KO	GSN	gelsolin	KEGG KO 2026-09-18	mapped
K05850	KO	ATP2B	P-type Ca2+ transporter type 2B [EC:7.2.2.10]	KEGG KO 2026-09-18	mapped
K05870	KO	CREB1	cyclic AMP-responsive element-binding protein 1	KEGG KO 2026-09-18	mapped
K05871	KO	PTK2B, FAK2	focal adhesion kinase 2 [EC:2.7.10.2]	KEGG KO 2026-09-18	mapped
K06100	KO	SYMPK	symplekin	KEGG KO 2026-09-18	mapped
K06236	KO	COL1A	collagen type I alpha	KEGG KO 2026-09-18	mapped
K06240	KO	LAMA3_5	laminin, alpha 3/5	KEGG KO 2026-09-18	mapped
K06254	KO	AGRN	agrin	KEGG KO 2026-09-18	mapped
K06271	KO	TLN	talin	KEGG KO 2026-09-18	mapped
K06537	KO	CD151, TSPAN24	CD151 antigen	KEGG KO 2026-09-18	mapped
K06642	KO	PRKDC	DNA-dependent protein kinase catalytic subunit [EC:2.7.11.1]	KEGG KO 2026-09-18	mapped
K06643	KO	MDM2	E3 ubiquitin-protein ligase Mdm2 [EC:2.3.2.27]	KEGG KO 2026-09-18	mapped
K06669	KO	SMC3, CSPG6	structural maintenance of chromosome 3 (chondroitin sulfate proteoglycan 6)	KEGG KO 2026-09-18	mapped
K06674	KO	SMC2	structural maintenance of chromosome 2	KEGG KO 2026-09-18	mapped
K06675	KO	SMC4	structural maintenance of chromosome 4	KEGG KO 2026-09-18	mapped
K06765	KO	DCC	deleted in colorectal carcinoma	KEGG KO 2026-09-18	mapped
K06766	KO	NEO1	neogenin	KEGG KO 2026-09-18	mapped
K06777	KO	PTPRD	receptor-type tyrosine-protein phosphatase delta [EC:3.1.3.48]	KEGG KO 2026-09-18	mapped
K06792	KO	AGC1, CSPG1	aggrecan 1	KEGG KO 2026-09-18	mapped
K06793	KO	VCAN, CSPG2	versican core protein	KEGG KO 2026-09-18	mapped
K06819	KO	NRP2	neuropilin 2	KEGG KO 2026-09-18	mapped
K06827	KO	CTGF, CCN2, IGFBP8	connective tissue growth factor (insulin-like growth factor-binding protein 8)	KEGG KO 2026-09-18	mapped
K06829	KO	CYR61, CCN1, IGFBP10	insulin-like growth factor-binding protein 10	KEGG KO 2026-09-18	mapped
K07055	KO	TRM12, TYW2	tRNA wybutosine-synthesizing protein 2 [EC:2.5.1.114]	KEGG KO 2026-09-18	mapped
K07205	KO	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1	KEGG KO 2026-09-18	mapped
K07342	KO	SEC61G, SSS1, secE	protein transport protein SEC61 subunit gamma and related proteins	KEGG KO 2026-09-18	mapped
K07371	KO	BLNK	B-cell linker protein	KEGG KO 2026-09-18	mapped
K07378	KO	NLGN	neuroligin	KEGG KO 2026-09-18	mapped
K07408	KO	CYP1A1	cytochrome P450 family 1 subfamily A1 [EC:1.14.14.1]	KEGG KO 2026-09-18	mapped
K07409	KO	CYP1A2	cytochrome P450 family 1 subfamily A2 [EC:1.14.14.1]	KEGG KO 2026-09-18	mapped
K07414	KO	CYP2D	cytochrome P450 family 2 subfamily D [EC:1.14.14.1]	KEGG KO 2026-09-18	mapped
K07424	KO	CYP3A	cytochrome P450 family 3 subfamily A [EC:1.14.14.1]	KEGG KO 2026-09-18	mapped
