condition	feature_id	SSI	stability_level	stability_level_clean
des	RvY_00971-1	1	highly_stable	Highly stable
des	RvY_00972-1	1	highly_stable	Highly stable
des	RvY_00976-1	1	highly_stable	Highly stable
des	RvY_00977-1	1	highly_stable	Highly stable
des	RvY_00981-1	1	highly_stable	Highly stable
des	RvY_00982-1	1	highly_stable	Highly stable
des	RvY_00985-1	1	highly_stable	Highly stable
des	RvY_00986-1	1	highly_stable	Highly stable
des	RvY_00994	1	highly_stable	Highly stable
des	RvY_00995-1	1	highly_stable	Highly stable
des	RvY_00996-1	1	highly_stable	Highly stable
des	RvY_00997-1	1	highly_stable	Highly stable
des	RvY_01000-1	1	highly_stable	Highly stable
des	RvY_01001-1	1	highly_stable	Highly stable
des	RvY_01003-1	1	highly_stable	Highly stable
des	RvY_01006	1	highly_stable	Highly stable
des	RvY_01009-1	1	highly_stable	Highly stable
des	RvY_01012-1	1	highly_stable	Highly stable
des	RvY_01013-1	1	highly_stable	Highly stable
des	RvY_01015-1	1	highly_stable	Highly stable
des	RvY_01017-1	1	highly_stable	Highly stable
des	RvY_01022-1	1	highly_stable	Highly stable
des	RvY_01024-1	1	highly_stable	Highly stable
des	RvY_01025-1	1	highly_stable	Highly stable
des	RvY_01030-1	1	highly_stable	Highly stable
des	RvY_01031-1	1	highly_stable	Highly stable
des	RvY_01032-1	1	highly_stable	Highly stable
des	RvY_01037	1	highly_stable	Highly stable
des	RvY_01039	1	highly_stable	Highly stable
des	RvY_01040-1	1	highly_stable	Highly stable
des	RvY_01041-1	1	highly_stable	Highly stable
des	RvY_01042-1	1	highly_stable	Highly stable
des	RvY_01044	1	highly_stable	Highly stable
des	RvY_01048-1	1	highly_stable	Highly stable
des	RvY_01049-1	1	highly_stable	Highly stable
des	RvY_01051	1	highly_stable	Highly stable
des	RvY_01055-2	1	highly_stable	Highly stable
des	RvY_01056-1	1	highly_stable	Highly stable
des	RvY_01059	1	highly_stable	Highly stable
des	RvY_01060-1	1	highly_stable	Highly stable
des	RvY_01061-1	1	highly_stable	Highly stable
des	RvY_01062-1	1	highly_stable	Highly stable
des	RvY_01065-1	1	highly_stable	Highly stable
des	RvY_01066-1	1	highly_stable	Highly stable
des	RvY_01070-1	1	highly_stable	Highly stable
des	RvY_01072-1	1	highly_stable	Highly stable
des	RvY_01073-1	1	highly_stable	Highly stable
des	RvY_01075	1	highly_stable	Highly stable
des	RvY_01077-1	1	highly_stable	Highly stable
des	RvY_01078-1	1	highly_stable	Highly stable
des	RvY_01081-1	1	highly_stable	Highly stable
des	RvY_01082	1	highly_stable	Highly stable
des	RvY_01083-1	1	highly_stable	Highly stable
des	RvY_01086-1	1	highly_stable	Highly stable
des	RvY_01087-1	1	highly_stable	Highly stable
des	RvY_01089-1	1	highly_stable	Highly stable
des	RvY_01092-1	1	highly_stable	Highly stable
des	RvY_01094-1	1	highly_stable	Highly stable
des	RvY_01096-1	1	highly_stable	Highly stable
des	RvY_01097-1	1	highly_stable	Highly stable
des	RvY_01098-1	1	highly_stable	Highly stable
des	RvY_01099-1	1	highly_stable	Highly stable
des	RvY_01104-1	1	highly_stable	Highly stable
des	RvY_01106-1	1	highly_stable	Highly stable
des	RvY_01110-1	1	highly_stable	Highly stable
des	RvY_01112-1	1	highly_stable	Highly stable
des	RvY_01115-1	1	highly_stable	Highly stable
des	RvY_01116-1	1	highly_stable	Highly stable
des	RvY_01118-1	1	highly_stable	Highly stable
des	RvY_01119-1	1	highly_stable	Highly stable
des	RvY_01121	1	highly_stable	Highly stable
des	RvY_01123-1	1	highly_stable	Highly stable
des	RvY_01124-1	1	highly_stable	Highly stable
des	RvY_01125-1	1	highly_stable	Highly stable
des	RvY_01128-1	1	highly_stable	Highly stable
des	RvY_01129	1	highly_stable	Highly stable
des	RvY_01130-1	1	highly_stable	Highly stable
des	RvY_01132-1	1	highly_stable	Highly stable
des	RvY_01136-1	1	highly_stable	Highly stable
des	RvY_01137-1	1	highly_stable	Highly stable
des	RvY_01138-1	1	highly_stable	Highly stable
des	RvY_01140	1	highly_stable	Highly stable
des	RvY_01143-1	1	highly_stable	Highly stable
des	RvY_01144-1	1	highly_stable	Highly stable
des	RvY_01146-1	1	highly_stable	Highly stable
des	RvY_01147-1	1	highly_stable	Highly stable
des	RvY_01148-1	1	highly_stable	Highly stable
des	RvY_01149-1	1	highly_stable	Highly stable
des	RvY_01150-1	1	highly_stable	Highly stable
des	RvY_01151-1	1	highly_stable	Highly stable
des	RvY_01152	1	highly_stable	Highly stable
des	RvY_01154-1	1	highly_stable	Highly stable
des	RvY_01155-1	1	highly_stable	Highly stable
des	RvY_01156-1	1	highly_stable	Highly stable
des	RvY_01157-1	1	highly_stable	Highly stable
des	RvY_01160-1	1	highly_stable	Highly stable
des	RvY_01161-1	1	highly_stable	Highly stable
des	RvY_01162-1	1	highly_stable	Highly stable
des	RvY_01163-1	1	highly_stable	Highly stable
des	RvY_01164	1	highly_stable	Highly stable
des	RvY_01165-1	1	highly_stable	Highly stable
des	RvY_01166-1	1	highly_stable	Highly stable
des	RvY_01168-1	1	highly_stable	Highly stable
des	RvY_01170	1	highly_stable	Highly stable
des	RvY_01173-1	1	highly_stable	Highly stable
des	RvY_01175-1	1	highly_stable	Highly stable
des	RvY_01179	1	highly_stable	Highly stable
des	RvY_01180-1	1	highly_stable	Highly stable
des	RvY_01181-1	1	highly_stable	Highly stable
des	RvY_01182-1	1	highly_stable	Highly stable
des	RvY_01188-1	1	highly_stable	Highly stable
des	RvY_01189-1	1	highly_stable	Highly stable
des	RvY_01190-1	1	highly_stable	Highly stable
des	RvY_01194-1	1	highly_stable	Highly stable
des	RvY_01195-1	1	highly_stable	Highly stable
des	RvY_01196-1	1	highly_stable	Highly stable
des	RvY_01197-1	1	highly_stable	Highly stable
